tu_id,lo_id,lo_name,lo_q_link
1,1,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
1,2,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
2,3,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
2,4,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,5,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,6,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
3,7,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
4,8,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
4,9,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,10,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,11,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
5,12,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
6,13,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
6,14,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,15,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,16,define,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
7,17,introduce,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
8,18,explain,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
8,19,learn,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
9,20,practice,https://community.toppr.com/content/questions/search/?exam=16&qid=1001%2C1102%2C1003&page=1&submt=1
